                             Аппараты высокого давления бытовые и полупрофессиональные без подогрева воды Соmeт! (Италия),,,,
К223238,"Пистолет ""Комета"" для АВД бытовой",Давление: 220 bar    Температура: 60°    Расход воды: 25 l/min,39,
К422424,"Пенокомплект ""Комета"" в сборе",Давление: 350 bar    Расход воды: 40 l/min    Температура: 160°,125,
К422425,"Пенный комплект ""Комета"" + переходники для профессионального",,110,
14.6502.00,"Бачок ""Комета"" к пенному набору",,1.54,
008081414,"Форсункодержатель + защита ""Комета""",,5,
008080014,"Форсункодержатель ""Комета"" для Керхер",,5.77,
45.100.34,"Фильтр для воды ""Комета"" подводящий",,12.5,
FFL - 3,"Сеточка ""Комета"" для пенного набора",,3.42,
01700018B,"Удлиняющая телескопическая насадка ""Комета"" высокого",Давление: max. 200 bar    Температура: 100° C    Расход воды: max. 21 l/min,243,
TPL-03SF(SS304),"Байонет и нипеля ""Комета""",Давление: 390 bar    Температура: 90°    Расход воды: 50 l/min,12.87,
001008014,"Байонет и нипеля ""Комета""",Давление: 390 bar    Температура: 90°    Расход воды: 50 l/min,14,
TPL-03PF(SS304),"Байонет и нипеля ""Комета""",Давление: 390 bar    Температура: 90°    Расход воды: 50 l/min,5.5,
К25045,"Форсунка ""Комета"" для Керхер",,6,
К25055,"Форсунка ""Комета"" для Керхер",,6,
М25030,"Форсунка ""Комета""",,5.5,
М25045,"Форсунка ""Комета""",,5.5,
1900531S,"Манометр ""Комета""",Расход воды: 30 l/min    Температура: 60°,38.39,
1963401 S,"Манометр ""Комета""",Расход воды: 30 l/min    Температура: 60°,38.39,
01900100,"Ручной барабан ВД ""Комета"" с фиксатором вращения",,144,
01900 300,"Держатель шланга ""Комета"" (нерж.)",,129,
Шланги (рукава) и фитинги высокого давления,,,,
BXT204,Муфта обжимная,,"0,47",
03310-05,Муфта обжимная,,"0,47",
BXT206,Муфта обжимная,,"0,49",
RR06,Резиновая ручка,,"0,95",
RR08,Резиновая ручка,,"1,09",
RR10 цвет: голубой,Резиновая ручка,,"2,46",
90011-04-04,Соединитель ремонтный (ёлочка),,"2,25",
90011-05-05,Соединитель ремонтный (ёлочка),,"2,25",
CPE10,Соединитель ремонтный (ёлочка),,"2,25",
20011-22-04Т,"Фитинг 22х1,5 для KARCHER (с теплозащит.) универсальный",,"2,48",
20011-22-05Т,"Фитинг 22х1,5 для KARCHER (с теплозащит.) универсальный",,"2,48",
FG221510K 20011-22-06T,"Фитинг 22х1,5 для KARCHER (с теплозащит.)",,"3,1",
WRAP FITTING,"Фитинг 22х1,5 для KARCHER (под ключ)",,2,
Pos 9 DN 06,Штуцер 0 10 для пистолета KARCHER,,"1,8",
Pos 9 DN 08,Штуцер 0 10 для пистолета KARCHER,,"1,8",
Pos 8 DN 06,Штуцер 0 11 для пистолета KARCHER,,"2,48",
Pos 8 DN 08,Штуцер 0 11 для пистолета KARCHER,,"2,48",
DN6 BRASS FITTING,Новый штуцер под быт. KARCHER,,"1,8",
CP 0406 FG,Фитинг 3/8 резьба внутренняя,,"0,75",
CP 0506 FG,Фитинг 3/8 резьба внутренняя,,"0,75",
CP 0606 FG,Фитинг 3/8 резьба внутренняя,,"0,8",
CP 0406 MG,Фитинг 3/8 резьба наружная,,"0,75",
CP 0506 MG,Фитинг 3/8 резьба наружная,,"0,75",
CP 0606 MG,Фитинг 3/8 резьба наружная,,"0,8",
D1N-1SN,Гидравлические рукава высокого давления одна мет.оплетка,,"1,32",
D1N-1SN,Гидравлические рукава высокого давления одна мет.оплетка,,"1,36",
D1N-1SN,Гидравлические рукава высокого давления одна мет.оплетка,,"2,10",
D1N-2SN,Гидравлические рукава высокого давления  две. мет.оплетка,,"1,83",
D1N-2SN,Гидравлические рукава высокого давления  две. мет.оплетка,,"1,86",
D1N-2SN,Гидравлические рукава высокого давления  две. мет.оплетка,,"2,15",
Компрессоры SATURN,,,,
,LB24F,,179,
,LB50F,,216,
,2055L/100L,,545,
,2070L/100L,,605,
,2070L/150L,,668,
,2070L/200L,,750,
,2090L/200L,,1206,
,2090L/300L,,1450,
Пылеводососы Комета,,,,
,Комета СВ 30,,210,
,Комета А-024,,455,
,Комета А-026,,496,
,Комета А-024-3,,506,
,Комета А-026-3,,525,
,Аксессуары для пылеводососов Комета,,
А-049 Brush,Щётки для турбины,"В комплект входит: 1 пружина, 1 щётка",13,
А-049,Турбина,"Турбина, мощность 1000 Вт",44,
....,Выключатель,Выключатель,5,
А-068,Мешок 1 'i,Тканевый многоразовый,20,
А-020-3А,Фильтр-мешок,"Корзина для пылесоса объёма 60 л, полиэстер",26,
А-022 А,Фильтр-мешок,"Корзина для пылесоса объёма 80 л, полиэстер",26,
,Тележка в сборе,Тележка для пылеводососа 60 л,126,
,Тележка в сборе,Тележка для пылеводососа 80 л,132,
А-056 В 25,Шланг /,"Шланг всасывающий, 25 м, диаметр 40 мм, пометражно",8,
А-056 B-8,Переходник,"Коннектор шланг-насадка, диаметр 40 мм",9,
А-056 B-7,Переходник,"Коннектор шланг-пылеводосос, диаметр 40 мм",8,
А-056 B-4,Насадка половая,"Насадка для сбора воды, диаметр 43 мм",21,
А-056 B-2,Насадка ручная,Насадка круглая с ворсом,6,
